naziv,stanje,cena
Lezaj 6309 2RS     ,4,
Lezaj 6309 2RS FAG,79,1980
Lezaj 6309 N URB,2,828
Lezaj 6310 ZZ ,2,
Lezaj 6310 ZZ FAG      ,14,2320
Lezaj 6310 2RS     ,4,
Lezaj 6310 2RS FAG,18,2620
Lezaj 6310  ZZ C3 FAG,2,2320
Lezaj 6310 2HRS C3,14,2620
Lezaj 6311 GPZ,2,803
Lezaj 6311 ZZ      ,5,
Lezaj 6311 ZZ FAG       ,27,2900
Lezaj 6311 2RS     ,5,
Lezaj 6311 2RS FAG   ,33,3270
Lezaj 6311 N C3       ,13,1367
Lezaj 6312 ZZ FAG,8,3690
Lezaj 6312 2RS FAG   ,13,4170
Lezaj 6313 FLT        ,3,1980
Lezaj 6313 ZZ FAG    ,17,6800
Lezaj 6313 2RS FAG,22,7450
Lezaj 6314 GPZ        ,6,2022
Lezaj 6314 ZZ FAG     ,13,8190
Lezaj 6314 2RS FAG,6,9000
Lezaj 6315 GPZ,6,2311
Lezaj 6315  ZKL,2,8293
Lezaj 6315 Z GPZ,2,2397
Lezaj 6315 ZZ FAG,5,9970
Lezaj 6315 2RS FAG,6,10940
Lezaj 6316 GPZ        ,4,2654
Lezaj 6316 Z NSK,1,9748
Lezaj 6316 ZZ FAG,3,11760
Lezaj 6317         ,2,2632
Lezaj 6317 FLT       ,3,2675
Lezaj 6317 ZZ FAG,1,14210
Lezaj 6318 ZZ FAG,5,17670
Lezaj 6319 ZKL         ,2,3487
Lezaj 6319 N GPZ,1,3500
Lezaj 6319 ZZ FAG        ,3,23340
Lezaj 6320 GPZ,3,3852
Lezaj 6320 ZZ GPZ,2,4045
Lezaj 6320 ZZ FAG,5,28090
Lezaj 6322 FAG,2,31960
Lezaj 6322 GPZ,1,7011
Lezaj 6403 FAG        ,10,1670
Lezaj 6403 2RS FAG ,15,2585
Lezaj 6404 FAG,14,2160
Lezaj 6405         ,5,625
Lezaj 6405 ZZ WBW       ,1,750
Lezaj 6405 FAG,16,2540
Lezaj 6406         ,2,
Lezaj 6406 FAG,6,3120
Lezaj 6407         ,8,1014
Lezaj 6407 -         ,20,1487
Lezaj 6407 FAG,3,3780
Lezaj 6407 +,1,
Lezaj 6408 N GPZ        ,9,1540
Lezaj 6408 C3 FAG,8,4650
Lezaj 6409 - ,8,1584
Lezaj 6409 FAG       ,3,5700
Lezaj 6410     ,4,2054
Lezaj 6410 -     ,9,2258
Lezaj 6410 FAG       ,2,6700
Lezaj 6411 GPZ,4,2777
Lezaj 6411 FAG,2,7990
Lezaj 6412 MGM        ,5,2889
Lezaj 6413 FLT ,7,3157
Lezaj 6414 FAG,2,17170
Lezaj 6415 IKL        ,2,6123
Lezaj 6417 ZKL        ,2,10400
Lezaj 61800 2RS FAG        ,33,790
Lezaj 61801 2RS FAG        ,25,770
Lezaj 61802 2RS FAG     ,24,800
Lezaj 61803 2RS,1,182
Lezaj 61803 2RS FAG,28,910
Lezaj 61804 2RS FAG,16,1030
Lezaj 61805 2RS FAG     ,23,1180
Lezaj 61806 2RS FAG      ,25,1690
Lezaj 61807 ZZ FAG,95,1950
Lezaj 61808 2RS FAG,15,2130
Lezaj 61809 2RS FAG,6,2520
Lezaj 61810 FAG,4,2460
Lezaj 61810 2RS FAG,5,3050
Lezaj 61811 2RS FAG,5,3720
Lezaj 61812 2RS FAG,3,4250
Lezaj 61813 2RS FAG,2,4550
Lezaj 61814 FAG,1,1100
Lezaj 61814 2RS FAG,2,4860
Lezaj 61815 2RS FAG,2,5920
Lezaj 61816 2RS FAG,3,6150
Lezaj 61817 2RS FAG,2,7550
Lezaj 61820 2RS FAG,2,9850
Lezaj 61821 FAG,2,8840
Lezaj 61822 2RS FAG,2,11420
Lezaj 61824 2RS FAG,2,13660
Lezaj 61826 FAG,4,13560
Lezaj 61828 2RS FAG,5,19500
Lezaj 61840 FAG,2,34200
Lezaj 61900 2RS FAG,15,760
Lezaj 61901 2RS FAG,27,760
Lezaj 61902 2RS FAG,11,840
Lezaj 61903 2RS FAG,45,860
Lezaj 61904 2RS FAG,29,1020
Lezaj 61905 2RS FAG,14,1330
Lezaj 61906 ZZ FAG,46,1710
Lezaj 61907 ZZ FAG,6,2390
Lezaj 61907 2RS FAG,8,2330
Lezaj 61908 2RS FAG,14,2470
Lezaj 61909 2RS FAG,14,2880
Lezaj 6204 2RS ES IKL,15,321
Lezaj 6205 2RS ES,2,605
Lezaj 6205 2RS ES WBW,4,250
Lezaj 6206 2RS ES -,4,300
Lezaj 6207 2RS ES WBW    ,3,350
Lezaj 6207 2RS ES ,2,
Lezaj 6208 2RS ES     ,4,560
Lezaj 6210 2RS ES,2,
Lezaj 62200 2RS FAG,26,790
Lezaj 62201 2RS ,2,156
Lezaj 62201 2RS FAG,17,800
Lezaj 62202 2RS FAG    ,12,890
Lezaj 62203 2RS FAG  ,27,970
Lezaj 62204 2RS FAG,22,1070
Lezaj 62205 2RS KBS   ,4,253
Lezaj 62205 2RS FAG,20,1190
Lezaj 62206 2RS FAG,18,1510
Lezaj 62207 2RS FAG     ,15,2020
Lezaj 62208 2RS FAG,12,2320
Lezaj 62209 2RS FAG,10,3100
Lezaj 62210 2RS FAG,5,3660
Lezaj 62211 2RS FAG,5,4560
Lezaj 62212 2RS FAG,2,5880
Lezaj 62300 2RS FAG    ,20,1125
Lezaj 62301 2RS TIM,1,800
Lezaj 62302 2RS FAG,21,1030
Lezaj 62303 2RS FAG,12,1160
Lezaj 62304 2RS FAG,18,1360
Lezaj 62305 2RS,1,554
Lezaj 62305 2RS -,6,348
Lezaj 62305 2RS FAG,45,1770
Lezaj 62306 2RS      ,4,
Lezaj 62306 2RS FAG,54,2500
Lezaj 62307 2RS FAG    ,7,3060
Lezaj 63000 2RS FAG,4,870
Lezaj 63001 2RS FAG     ,12,870
Lezaj 63002 2RS FAG,14,940
Lezaj 63004 FAG,3,350
Lezaj 63004 2RS FAG,18,1090
Lezaj 63005 2RS FAG,26,1120
Lezaj 63006 2RS FAG,24,1550
Lezaj 63007 2RS FAG,25,1640
Lezaj 63008 2RS FAG,9,1960
Lezaj 6308 2RS EES FAG,2,2040
Lezaj B 7005 C T P4S UL FAG,16,10375
Lezaj B 7006 C T P4S UL FAG,2,11110
Lezaj B 7007 C T P4S UL FAG,2,12210
Lezaj B 7008 C T P4S UL FAG,2,15220
Lezaj B 7009 C FAG,1,1200
Lezaj B 7011 C T P4S UL FAG,2,20045
Lezaj kugl. 7013 -        ,1,1904
Lezaj kugl. 7015 M       ,4,2742
Lezaj B 7017 E TPA P4 UL FAG         ,2,35995
Lezaj kugl. 7018         ,6,2782
Lezaj kugl. 7026 M,4,18561
Lezaj 7200 BTVP FAG    ,9,1020
Lezaj 7201 BTVP FAG,23,1040
Lezaj B 7201 FAG,2,9820
Lezaj 7202 BTVP FAG,7,1060
Lezaj 7203 BTVP FAG       ,1,1080
Lezaj kugl. 7204 B -       ,14,1467
Lezaj 7204 BTVP FAG,6,1150
Lezaj 7205 BTVP FAG,26,1250
Lezaj kugl. 7206 -       ,1,570
Lezaj 7206 BTVP FAG,22,1490
Lezaj 7207 BTVP FAG,11,1830
Lezaj 7208 BTVP FAG       ,22,2110
Lezaj kugl. 7209 -         ,22,946
Lezaj 7209 BTVP FAG    ,14,2410
Lezaj kugl. 7209 B.TVP,2,3035
Lezaj kugl. 7209 +,10,847
Lezaj kugl. 7210 -       ,70,1053
Lezaj 7210 BTVP FAG,1,2730
Lezaj B 7210 C T P4S UL ,2,22135
Lezaj kugl. 7211 -         ,3,1210
Lezaj 7211 BTVP FAG,5,3430
Lezaj kugl. 7212 BTVP *        ,4,5265
Lezaj kugl. 7213         ,1,2750
Lezaj 7213 BTVP FAG      ,2,5050
Lezaj kugl. 7214 -        ,8,2117
Lezaj 7214 BTVP FAG       ,2,5880
Lezaj 7215 BTVP      ,3,6620
Lezaj 7216 BTVP FAG,5,8020
Lezaj kugl. 7216 BM-,1,3808
Lezaj kugl. 7218         ,20,3331
Lezaj kugl. 7219         ,8,4852
Lezaj kugl. 7220         ,1,6667
Lezaj kugl. 7222 +,2,6970
Lezaj kugl. 7303         ,2,457
Lezaj kugl. 7303 -         ,1,587
Lezaj 7303 BTVP FAG      ,6,1330
Lezaj 7304 BTVP FAG,13,1380
Lezaj 7305 BTVP FAG,16,1640
Lezaj 7306 BTVP FAG      ,9,1980
Lezaj 7307 BTVP FAG,11,2400
Lezaj kugl. 7308 -         ,7,1137
Lezaj 7308 BTVP FAG,7,3080
Lezaj 7309 BTVP FAG       ,6,3780
Lezaj kugl. 7310 -        ,6,1641
Lezaj 7310 BTVP FAG         ,4,4750
Lezaj 7311 BTVP FAG,3,6000
Lezaj kugl. 7312         ,4,1880
Lezaj kugl. 7312 M -         ,1,2815
Lezaj 7312 BTVP FAG      ,5,7300
Lezaj kugl. 7313 B -,2,3035
Lezaj kugl. 7313 BTVP *,2,9720
Lezaj 7314 BTVP FAG,2,11710
Lezaj kugl. 7314 +        ,3,1357
Lezaj kugl. 7314 -        ,1,5682
Lezaj 7315 BTVP FAG,11,14730
Lezaj kugl. 7317 M -,1,25060
Lezaj kugl. 7318,1,4664
Lezaj 7318 BTVP FAG       ,2,24450
Lezaj kugl. 7412 BM -,1,14162
Lezaj 926722 (110x155x30) FAG,1,2000
Lezaj kugl. R3 ZZ,6,450
Lezaj kugl. R6 ZZ,2,725
Lezaj kugl. R8 2RS,7,245
Lezaj kugl. L17 -         ,15,250
Lezaj 16002      ,30,209
Lezaj 16002 A FAG       ,19,500
Lezaj 16003 A FAG,17,490
Lezaj 16004 A FAG,21,540
Lezaj 16005 A FAG,25,590
Lezaj 16005 +        ,9,223
Lezaj 16005 A ZZ FAG,1,680
Lezaj 16006 -         ,1,230
Lezaj 16006 A FAG,8,700
Lezaj 16007         ,6,423
Lezaj 16007 A FAG        ,12,800
Lezaj 16008 -         ,4,310
Lezaj 16008 A FAG      ,21,930
Lezaj 16009 A FAG,19,1200
Lezaj 16010 A FAG,15,1370
Lezaj 16011 A FAG,17,1850
Lezaj 16012         ,6,1116
Lezaj 16012 -         ,7,538
Lezaj 16012 FAG        ,20,2120
Lezaj 16013 -         ,25,750
Lezaj 16013 FAG,11,2460
Lezaj 16014 FAG,6,3200
Lezaj 16014 +,1,
Lezaj 16015 FAG,7,3340
Lezaj 16016 FAG       ,2,3910
Lezaj 16017 FAG      ,1,4360
Lezaj 16018 FAG        ,1,4880
Lezaj 16019 FAG,3,5480
Lezaj 16020         ,2,3293
Lezaj 16020 FAG        ,2,6070
Lezaj 16021 FAG,4,7745
Lezaj 16022 FAG,2,8490
Lezaj 16024 FAG,2,9910
Lezaj 16032 C3 FAG,1,21680
Lezaj 16036 FAG,2,33645
Lezaj 16100 ZZ FAG,57,590
Lezaj 16101 2RS FAG,11,1155
Lezaj 20209 KC3 FAG,1,17060
Lezaj 20212 T FAG,2,21480
Lezaj bacv.20212 -,1,6322
Lezaj bacv.20308 -     ,1,5712
Lezaj 21304 E FAG,2,4860
Lezaj bacv.21305,1,
Lezaj 21305 E FAG ,7,4700
Lezaj 21306 E FAG ,5,5330
Lezaj 21306 EXQW33 NACHI,4,4130
Lezaj 21307 E FAG,6,5850
Lezaj 21307 EXQW33 NACHI,4,4520
Lezaj 21308 E FAG,8,6220
Lezaj 21308 EXQW33 NACHI,4,5350
Lezaj 21309 E FAG,4,6820
Lezaj 21310 E FAG,2,7820
Lezaj 21310 EXQW33 NACHI,4,6060
Lezaj 21311 E FAG,1,9150
Lezaj 21311 EXQW33 NACHI,2,7100
Lezaj 21312 E FAG,5,10360
Lezaj 21312 EXQW33 NACHI,2,8010
Lezaj bacv.21312 K -,1,12185
Lezaj 21313 E FAG ,4,12140
Lezaj 21313 EXQW33 NACHI,2,9405
Lezaj 21313 EK FAG,5,12140
Lezaj 21314 E FAG,4,14010
Lezaj 21314 EXQW33 NACHI,2,10850
Lezaj 21315 E FAG,-1,15610
Lezaj 21315 EXQW33 NACHI,2,12100
Lezaj 21316 E FAG,2,17600
Lezaj 21317 E FAG ,1,19940
Lezaj 21317 EXQW33 NACHI,2,15450
Lezaj 21317 EK FAG,2,20440
Lezaj 21318 E FAG,1,22740
Lezaj 21318 EX1W33 NACHI,2,17650
Lezaj 21320 E FAG,2,31930
Lezaj 21320 EXQW33 NACHI,2,24700
Lezaj 22205 E FAG     ,5,4310
Lezaj 22205 EXQW33 NACHI,18,3350
Lezaj 22206 E FAG     ,15,4360
Lezaj 22206 EXQW33 NACHI,18,3380
Lezaj 22207 E FAG,17,4550
Lezaj bacv.22208 -        ,1,
Lezaj 22208 E FAG  ,19,4900
Lezaj 22208 EXQW33 NACHI,18,3810
Lezaj bacv.22209 ,2,
Lezaj 22209 E FAG,8,5180
Lezaj 22209 EK FAG ,1,5180
Lezaj 22210 E FAG,12,5480
Lezaj 22210 EXQW33 NACHI,18,4260
Lezaj 22211 E FAG,14,6080
Lezaj 22211 EXQW33 NACHI,4,4730
Lezaj 22212 E FAG ,11,6870
Lezaj 22212 EXQW33 NACHI,4,5330
Lezaj 22212 ES KM FAG ,6,10940
Lezaj 22213 E FAG,14,8050
Lezaj 22213 EXQW33 NACHI,4,6260
Lezaj 22213 EK FAG,1,8050
Lezaj bacv.22214,2,2285
Lezaj 22214 E FAG  ,4,9220
Lezaj bacv.22214 +     ,1,2285
Lezaj bacv.22214-     ,1,3430
Lezaj 22214 EXQW33 NACHI,4,7180
Lezaj bacv.22214 K -     ,1,2699
Lezaj bacv.22215 -,1,3600
Lezaj 22215 E1 FAG,5,10140
Lezaj 22215 EXQW33 NACHI,2,7880
Lezaj bacv.22215 K,3,3600
Lezaj bacv.22215 KH -,1,4250
Lezaj 22216 E FAG,1,11510
Lezaj 22216 EXQW33 NACHI,2,8950
Lezaj bacv.22216 K -     ,7,3980
Lezaj 22216 EK FAG,2,11510
Lezaj 22217 E FAG,6,13230
Lezaj 22217 EXQW33 NACHI,2,10300
Lezaj bacv.22218  -,4,5309
Lezaj 22218 E FAG,3,15360
Lezaj 22218 EXQW33 NACHI,2,11960
Lezaj bacv.22218 K -,26,3577
Lezaj 22219 E FAG,2,18340
Lezaj 22219 EXQW33 NACHI,2,14270
Lezaj bacv.22219 K -,1,4422
Lezaj 22219 E1K C3 FAG,2,18340
Lezaj bacv.22220 -         ,1,7571
Lezaj 22220 E FAG,4,20570
Lezaj 22220 EXQW33 NACHI,2,16040
Lezaj bacv.22220 KH,1,12350
"Lezaj 22222 M URB,GPZ     ",5,10606
Lezaj 22222 E FAG,1,25310
Lezaj 22222 EXQW33 NACHI,2,19700
Lezaj bacv.22222 K -,1,10606
Lezaj 22224 E FAG,2,33560
Lezaj 22224 EXQW33 NACHI,2,26110
Lezaj bacv.22224 K,3,9139
Lezaj bacv.22224 K -,3,11648
Lezaj 22226 E FAG,3,39710
Lezaj 22226 EXQW33 NACHI,2,30900
Lezaj 22228 E FAG,3,50020
Lezaj 22228 EXQW33 NACHI,2,38960
Lezaj bacv.22228 K         ,2,13217
Lezaj bacv.22228 KH         ,2,21074
Lezaj 22230 E FAG,2,62580
Lezaj bacv.22230 +,2,16518
Lezaj 22230 EXQW33 NACHI,2,48720
Lezaj bacv.22230 M     ,1,22298
Lezaj bacv.22232 E1      ,2,77840
Lezaj 22232 E FAG,2,77840
Lezaj bacv.22240 K         ,1,46285
Lezaj bacv.22244         ,6,46456
Lezaj bacv.22252         ,2,60738
Lezaj bacv.22308 -,15,2643
Lezaj 22308 E FAG,10,6870
Lezaj 22308 EXQW33 NACHI,2,5405
Lezaj bacv.22308 K +,8,2640
Lezaj 22309 E FAG,4,7830
Lezaj bacv.22309  -,6,2845
Lezaj 22309 EXW33 NACHI,2,6200
Lezaj bacv.22309 K,1,2845
Lezaj 22309 E1K FAG,6,7830
Lezaj 22310 E FAG,29,9200
Lezaj 22310 EXQW33 NACHI,2,7270
Lezaj 22311 E FAG,5,10810
Lezaj 22311 EXQW33 NACHI,2,8520
Lezaj bacv.22312 -         ,3,4738
Lezaj 22312 EXQW33 NACHI,2,9890
Lezaj 22313 E FAG,9,14600
Lezaj 22313 EXQW33 NACHI,2,11520
Lezaj 22313 EK FAG,1,14600
Lezaj bacv.22314 -         ,1,6008
Lezaj 22314 E FAG,7,16770
Lezaj 22314 EXQW33 NACHI,2,13220
Lezaj bacv.22314 K,2,6000
Lezaj 22315 E FAG,3,19540
Lezaj 22315 EXQW33 NACHI,2,15420
Lezaj bacv.22315 K      ,2,6317
Lezaj bacv.22315 E1K     ,2,21900
Lezaj bacv.22315 KH      ,2,7231
Lezaj bacv.22316  -,2,7582
Lezaj 22316 E FAG,6,22140
Lezaj 22316 EXQW33 NACHI,2,17470
Lezaj bacv.22316 K,1,7600
Lezaj 22317 E FAG,8,25050
Lezaj 22317 EXQW33 NACHI,2,19750
Lezaj 22317 EK FAG,1,25050
Lezaj 22318 E FAG,3,31490
Lezaj 22318 CAM E4-VS4,1,34000
Lezaj 22318 EXQW33 NACHI,2,22170
Lezaj 22319 E FAG,1,33700
Lezaj 22319 EXW33 NACHI,2,26600
Lezaj bacv.22319 K       ,5,14952
Lezaj 22320 E FAG,9,40440
Lezaj 22320 EXQW33 NACHI,2,31920
Lezaj 22322 E1 FAG,3,55630
Lezaj 22322 EXQW33 NACHI,2,43900
Lezaj 22324 E FAG,1,69690
Lezaj 22324 EXQW33 NACHI,2,65080
Lezaj bacv.22324 KH      ,2,30401
Lezaj bacv.22326 -         ,1,42291
Lezaj bacv.22326 E*         ,2,95660
Lezaj 22326 EXQW33 NACHI,2,67340
Lezaj 22328 E FAG,2,106450
Lezaj 22328 EW33 NACHI,2,84000
Lezaj bacv.22330    ,3,39530
Lezaj 22330 E FAG,2,131760
Lezaj 22330 EW33 NACHI,2,106250
Lezaj bacv.22330 K       ,1,45618
Lezaj 23020 EXQW33 NACHI,2,20860
Lezaj 23022 E FAG,2,22110
Lezaj 23022 EXQW33 NACHI,2,17280
Lezaj 23024 E FAG,3,25750
Lezaj 23024 MK FAG,6,6345
Lezaj 23026 E FAG,5,31760
Lezaj 23026 EXQW33 NACHI,2,24850
Lezaj 23028 E FAG,6,41220
Lezaj 23028 EXQW33 NACHI,2,28750
Lezaj bacv.23028 K       ,1,12736
Lezaj 23030 E FAG,2,41580
Lezaj 23030 EXQW33 NACHI,2,32510
Lezaj bacv.23032 K +,1,13096
Lezaj 23034 E FAG,2,58970
Lezaj 23034 EK FAG,2,58970
Lezaj 23036 E FAG,2,69420
Lezaj 23048 E FAG,2,134700
Lezaj 23120 EMC3 FAG      ,4,31290
Lezaj bacv.23120 M -,3,30491
Lezaj 23120 EXQW33 NACHI,2,18500
Lezaj 23122 E FAG,2,27420
Lezaj 23122 EXQW33 NACHI,2,21200
Lezaj 23124 E1 FAG       ,2,35730
Lezaj 23124 EXQW33 NACHI,2,28270
Lezaj 23126 EXQW33 NACHI,2,32310
Lezaj 23128 E FAG      ,2,47490
Lezaj 23128 EXQW33 NACHI,1,38030
Lezaj 23218 E FAG,3,23750
Lezaj 23220 E FAG,2,29890
Lezaj 23220 E1AKMC3 FAG,2,39040
Lezaj 23222 E C3 FAG,2,37000
Lezaj 23222 EXQW33 NACHI,2,28590
Lezaj 23224 E FAG,1,45680
Lezaj 23224 EXQW33 NACHI,2,36208
Lezaj 23224 E1 K TVPB C3 FAG,1,45680
Lezaj 23228 M FAG,1,81840
Lezaj bacv.23228 +,4,16800
Lezaj 23228 EXQW33 NACHI,2,53030
Lezaj 23230 EXQW33 NACHI,2,68760
Lezaj 23232 E1 K TVPB FAG,2,103980
Lezaj 23234 E FAG,2,133000
Lezaj 29324 E FAG,1,57700
Lezaj 29332 FAG,1,34260
Lezaj 29412 E FAG,2,33530
Lezaj 29415 E FAG,1,43080
Lezaj 29416 E FAG,2,48120
Lezaj 29418 E FAG,1,55000
Lezaj 29432 E FAG,1,160540
Lezaj 29438 E FAG,1,269230
Navrtka KM 10           ,10,150
Navrtka KM-15,1,270
Osigura~ MB-5            ,5,12
Osigura~ MB-8            ,2,18
Osigura~ MB-9,7,20
Osigura~ MB 6            ,4,15
Osigura~ MB 7            ,4,15
Osigura~ MB 10,6,30
Osigura~ MB 11           ,4,40
Osigura~ MB-12,2,45
Osigura~ MB-15,1,80
Osigura~ MB-17,2,125
Osigura~ MB-18,1,385
Osigura~ MB-26,1,990
Osigura~ MB-13,3,50
Osigura~ MB-14,-1,50
Osigura~ MB-16            ,3,100
Hilzna H-204             ,2,403
Hilzna H-206             ,2,570
Hilzna H-207             ,2,600
Hilzna H-208             ,2,635
Hilzna H-209             ,1,700
Hilzna H-212,3,945
Hilzna H-215             ,2,1415
Hilzna H-216 -             ,7,1299
Hilzna H-218 -             ,1,1870
Hilzna H-220             ,3,2184
Hilzna H-220 -             ,4,2184
Hilzna H-222 -             ,7,2733
Hilzna H-306             ,19,480
Hilzna H-307             ,1,480
Hilzna H-307 -            ,3,230
Hilzna H-308             ,3,650
Hilzna H-309             ,2,250
Hilzna H-310  ,1,800
Hilzna H-311             ,1,330
Hilzna H-312 -,2,400
Hilzna H-313             ,2,1175
Hilzna H-314 -             ,2,1190
Hilzna H-315 -,19,1215
Hilzna H-316,1,1770
Hilzna H-318 -             ,6,1988
Hilzna H-322 -,9,3069
Hilzna H-2305 *          ,6,1406
Hilzna H-2307,1,520
Hilzna H-2309,3,765
Hilzna H-2310            ,2,490
Hilzna H-2315 -,1,1439
Hilzna H-2324 -,2,5505
Hilzna H-2326 -,1,4530
Hilzna H-3032,1,6149
Hilzna H-3132,2,7487
Hilzna AH-216,6,950
Hilzna AH-2313,1,1325
Hilzna AH-2314,3,2761
Hilzna H - 386217,1,6000
Lezaj 7718 gpz,2,900
Lezaj valjk. 30202        ,8,
Lezaj 30202 A FAG        ,13,1215
Lezaj valjk. 30203        ,43,645
Lezaj valjk. 30203 -        ,41,246
Lezaj 30203 NACHI,59,735
Lezaj valjk. 30204        ,10,
Lezaj 30204 A FAG,53,1020
Lezaj 30204 NACHI,60,785
Lezaj valjk. 30205        ,10,250
Lezaj 30205 A FAG,13,1130
Lezaj valjk. 30205-       ,8,360
Lezaj valjk. 30206,10,
Lezaj 30206 A FAG,9,1240
Lezaj 30206 NACHI,57,960
Lezaj valjk. 30207,10,250
Lezaj valjk. 30207 -,3,420
Lezaj 30207 A FAG       ,31,1540
Lezaj 30207 NACHI,58,1200
Lezaj valjk. 30208        ,14,270
Lezaj 30208 XL FAG,81,1860
Lezaj 30208 NACHI,24,1440
Lezaj valjk. 30209        ,12,330
Lezaj 30209 A FAG    ,42,2080
Lezaj 30209 NACHI,23,1600
Lezaj valjk. 30210        ,10,
Lezaj 30210 A FAG,21,2630
Lezaj 30210 NACHI,23,2030
Lezaj valjk. 30211        ,1,760
Lezaj 30211 A FAG,21,2920
Lezaj 30211 NACHI,9,2260
Lezaj 30212 A FAG,14,3480
Lezaj 30212 NACHI,9,2690
Lezaj 30213 A FAG,11,4280
Lezaj valjk. 30213.,3,1785
Lezaj 30213 NACHI,9,3315
Lezaj 30214 A FAG,26,4760
Lezaj valjk. 30215        ,2,
Lezaj 30215 A FAG,14,4980
Lezaj valjk. 30216        ,54,1800
Lezaj 30216 A FAG      ,2,5940
Lezaj 30216 NACHI,5,4600
Lezaj 30217 A FAG,5,7200
Lezaj 30217 ,1,7200
Lezaj valjk. 30217 +,2,3612
Lezaj valjk. 30217-,8,2537
Lezaj 30217 NACHI,6,5570
Lezaj 30218 A FAG,3,8790
Lezaj valjk. 30218  -,8,3651
Lezaj 30218 NACHI,6,6800
Lezaj valjk. 30219        ,2,3330
Lezaj 30219 A FAG,1,10680
Lezaj valjk. 30219 -,7,3330
Lezaj 30219 NACHI,2,8280
Lezaj valjk. 30220 -       ,10,3108
Lezaj 30220 A FAG,2,13010
Lezaj 30221 A FAG,2,16030
Lezaj 30221 ,3,16030
Lezaj 30221 A,4,7230
Lezaj valjk. 30222        ,1,6495
Lezaj valjk. 30228 +,2,11015
Lezaj valjk. 30228 -       ,3,15450
Lezaj 30236 A FAG,2,175590
Lezaj valjk. 30302 ,2,280
Lezaj 30302 A FAG,13,1200
Lezaj valjk. 30303        ,2,
Lezaj valjk. 30303 -       ,3,235
Lezaj 30303 A FAG,19,1180
Lezaj valjk. 30304        ,6,235
Lezaj valjk. 30304 -        ,74,336
Lezaj 30304 A FAG       ,14,1170
Lezaj 30304 NACHI,30,980
Lezaj valjk. 30305        ,3,258
Lezaj 30305 A FAG       ,28,1430
Lezaj 30305 NACHI,25,1100
Lezaj valjk. 30306        ,3,
Lezaj valjk. 30306 -        ,3,670
Lezaj 30306 A FAG     ,19,1760
Lezaj 30306 NACHI,30,1350
Lezaj valjk. 30307        ,7,414
Lezaj valjk. 30307 -        ,301,587
Lezaj 30307 A FAG,11,2100
Lezaj 30307 NACHI,30,1605
Lezaj valjk. 30308        ,3,
Lezaj valjk. 30308 -        ,2,722
Lezaj 30308 A FAG,14,2580
Lezaj valjk. 30308-,2,985
Lezaj 30309 A FAG,8,3280
Lezaj valjk. 30310        ,5,1680
Lezaj valjk. 30310 -       ,35,1189
Lezaj 30310 A FAG,20,3990
Lezaj valjk. 30311 -        ,1,1333
Lezaj 30311 A FAG         ,14,5230
Lezaj 30312 A FAG     ,19,6225
Lezaj valjk. 30313        ,3,2500
Lezaj 30313 A FAG,8,7840
Lezaj valjk. 30314 -        ,1,2700
Lezaj 30314 A FAG       ,6,9750
Lezaj 30315 A FAG,6,11880
Lezaj 30317 A FAG     ,1,17860
Lezaj 30318 A FAG        ,2,21080
Lezaj 30320 A FAG    ,2,33170
Lezaj 31305 A FAG       ,6,2260
Lezaj valjk. 31306        ,1,430
Lezaj 31306 A FAG,10,2650
Lezaj 31307 A FAG,8,3030
Lezaj valjk. 31308 -        ,1,896
Lezaj valjk. 31309 -,2,806
Lezaj 31309 A FAG       ,8,4910
Lezaj 31310 A FAG      ,6,5500
Lezaj valjk. 31310 +       ,6,1770
Lezaj 31312 A FAG     ,4,8160
Lezaj 31313 A FAG       ,2,10000
Lezaj 31314 A FAG,2,12240
Lezaj 31315 A FAG,4,16370
Lezaj 31316 A FAG,1,20460
Lezaj valjk. 31317        ,1,5898
Lezaj valjk. 32004 ,2,
Lezaj valjk. 32004 -,3,307
Lezaj 32004 X FAG,11,1170
Lezaj valjk. 32005        ,2,
Lezaj 32005 X FAG,14,1250
Lezaj 32006 X WBW,2,250
Lezaj 32006 X FAG,5,1340
Lezaj valjk. 32007        ,2,685
Lezaj 32007 X FAG,7,1440
Lezaj 32008 X WBW  ,2,
Lezaj 32008 X FAG,14,1650
Lezaj valjk. 32009,2,
Lezaj 32009 X FAG,15,1890
Lezaj valjk. 32010         ,2,
Lezaj 32010 X FAG     ,13,2260
Lezaj 32011 X FAG,8,2660
Lezaj valjk. 32011 +,7,1125
Lezaj valjk. 32012,2,900
Lezaj 32012 X FAG,2,3240
Lezaj 32013 X FAG,8,3800
Lezaj 32014 X FAG,9,4350
Lezaj 32015 X FAG,9,4760
Lezaj valjk. 32016,1,1775
Lezaj 32016 X FAG,12,5690
Lezaj valjk. 32017 -        ,2,1770
Lezaj 32017 X FAG,17,6370
Lezaj 32018 X FAG,6,7000
Lezaj 32019 X FAG,13,7520
Lezaj 32020 X FAG      ,10,8050
Lezaj 32021 X FAG,3,10615
Lezaj valjk. 32022 - ,8,3970
Lezaj 32022 X FAG,7,11740
Lezaj 320/22 FAG,2,1670
Lezaj 32024 X FAG,8,14370
Lezaj 32026 X FAG     ,2,21650
Lezaj 32028 X FAG,1,28410
Lezaj 320/32 X FAG,1,1975
Lezaj valjk. 320/38 -,8,896
Lezaj valjk. 32205,2,
Lezaj 32205 A FAG        ,8,1580
Lezaj 32205 B FAG,3,2470
